State;"F2 - Temperature";"C9-C15 - Mass Flow";"C1-C3 - Mass Flow";"C16p - Mass Flow";"OptimizerSpreadsheet - A5"
;"";"";"";"";""
;"C";"g/d";"g/d";"g/d";""
"Case 1";"200";"0.5075";"0.1575";"0.2324";"0.5655"
"Case 2";"205";"0.6955";"0.2159";"0.3185";"0.5655"
"Case 3";"210";"0.9471";"0.2788";"0.4337";"0.5707"
"Case 4";"215";"1.281";"0.377";"0.5864";"0.5707"
"Case 5";"220";"1.628";"0.5062";"0.7874";"0.5572"
"Case 6";"225";"2.17";"0.6748";"1.05";"0.5572"
"Case 7";"230";"2.871";"0.8929";"1.389";"0.5572"
"Case 8";"235";"3.77";"1.172";"1.824";"0.5572"
"Case 9";"240";"4.907";"1.526";"2.374";"0.5572"
"Case 10";"245";"6.328";"1.968";"2.587";"0.5815"
"Case 11";"250";"8.069";"2.51";"3.299";"0.5815"
"Case 12";"255";"10.15";"3.157";"4.15";"0.5815"
"Case 13";"260";"12.54";"3.901";"5.128";"0.5815"
"Case 14";"265";"15.13";"4.704";"6.184";"0.5815"
"Case 15";"270";"17.64";"5.486";"7.212";"0.5815"
"Maximum";"270";"17.64";"5.486";"7.212";"0.5815"
"Minimum";"200";"0.5075";"0.1575";"0.2324";"0.5572"
