,Fout_hydrogen,Fout_methane,Fout_carbon monoxide,Fout_carbon dioxide,Fout_ethylene,Fout_ethane,Fout_propane,Fout_water,Fout_nonane,Fout_decane,Fout_undecane,Fout_dodecane,Fout_tridecane,Fout_tetradecane,Fout_pentadecane,Fout_hexadecane,Fout_heptadecane,Fout_octadecane,Fout_nonadecane,Fout_eicosane,Fout_heneicosane,Fout_docosane,Fout_tricosane,Fout_tetracosane,Fout_pentacosane,Fout_hexacosane,Fout_heptacosane,Fout_octacosane,Fout_nonacosane,Fout_triacontane,Fout_1-nonene,Fout_1-decene,Fout_1-undecene,Fout_1-dodecene,Fout_1-tridecene,Fout_1-tetradecene,Fout_1-pentadecene,Tin,Pin,Fin_hydrogen,Fin_carbon monoxide,W,index,Ta
0,hydrogen,methane,carbon monoxide,carbon dioxide,ethylene,ethane,propane,water,nonane,decane,undecane,dodecane,tridecane,tetradecane,pentadecane,hexadecane,heptadecane,octadecane,nonadecane,eicosane,heneicosane,docosane,tricosane,tetracosane,pentacosane,hexacosane,heptacosane,octacosane,nonacosane,triacontane,1-nonene,1-decene,1-undecene,1-dodecene,1-tridecene,1-tetradecene,1-pentadecene,Tin,Pin,hydrogen,carbon monoxide,W,component names,
1,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,K,Pa,mol/s,mol/s,g,unit,K
40,7.27734871392678e-05,7.718018172431e-07,2.14655257029269e-05,6.277442470529e-08,1.113137568194e-08,5.740164748931e-08,2.1556621806698e-07,6.2425451975489785e-06,7.171360430933104e-09,1.722498260121418e-08,2.1159512575720547e-08,2.154626252994606e-08,2.0610273889357743e-08,1.9969167708873246e-08,1.859974747526985e-08,1.768531758982875e-08,1.609470101223882e-08,1.4715943696575801e-08,1.3600633040366468e-08,1.234427282000138e-08,1.0714782975076533e-08,9.606200210600979e-09,7.988039596887304e-09,6.45602751911872e-09,5.2951078959826585e-09,3.9407004882038445e-09,2.6573302397646586e-09,1.9834083893096975e-09,1.2178469952984404e-09,8.418746498412104e-10,5.094189068168175e-09,9.483725079952688e-09,9.230138316512272e-09,6.815808838728565e-09,4.563209005146261e-09,3.1168051639177897e-09,2.595733122994409e-09,506.15,2240261.427,8.594096722904095e-05,2.783361974988646e-05,5.12,,
41,7.1970988727691e-05,7.8597367457017e-07,2.22659107947089e-05,7.280585400747e-08,1.106587117203e-08,5.706385754365e-08,2.2168725650351e-07,6.0579732680293e-06,7.534296296304774e-09,1.809672291138155e-08,2.2230375779637446e-08,2.2636698788469697e-08,2.1653340635426718e-08,2.0979788668867146e-08,1.9541063353985663e-08,1.858035502458813e-08,1.6909238824977807e-08,1.5460703887018855e-08,1.4288948398330655e-08,1.29690049585488e-08,1.1257048151786253e-08,1.00923610471599e-08,8.392306833437599e-09,6.782761052746146e-09,5.563088369837432e-09,4.140135665898676e-09,2.791815245704014e-09,2.0837868387116446e-09,1.2794810963014238e-09,8.844811409689803e-10,5.352001227468883e-09,9.963687564336113e-09,9.697267011223231e-09,7.1607505695083635e-09,4.794148758503361e-09,3.2745437673886245e-09,2.7271007562825472e-09,506.15,2247156.184,8.790434104682327e-05,2.846949577075314e-05,5.12,,
42,7.34612086305944e-05,8.1737195232246e-07,2.30239508181893e-05,8.451831172396e-08,1.124030707035e-08,5.796337870176e-08,2.2518180430123e-07,6.0199951382346255e-06,7.608975178614222e-09,1.827609507665578e-08,2.2450720129163035e-08,2.286107055435415e-08,2.1867965493983517e-08,2.1187737375324024e-08,1.973475161802825e-08,1.8764520883160688e-08,1.7076840815461273e-08,1.561394820348756e-08,1.4430578439650914e-08,1.3097551906648668e-08,1.1368626425458785e-08,1.0192395106509938e-08,8.475490195183864e-09,6.849990823712224e-09,5.6182289171838265e-09,4.181172106725994e-09,2.8194873246831622e-09,2.1044410399755964e-09,1.2921631324797356e-09,8.932479932978095e-10,5.405049508830236e-09,1.0062446230271524e-08,9.793384954210104e-09,7.231726919255837e-09,4.841667684867572e-09,3.307000583394373e-09,2.754131394369387e-09,506.15,2247156.184,9.019998121406942e-05,2.9212982579871844e-05,5.12,,
43,7.53719493880286e-05,8.1651526949012e-07,2.32845782657172e-05,8.575933059326e-08,1.520713780408e-08,6.573383061288e-08,2.0563942137836e-07,6.068346179328667e-06,7.513899361902795e-09,1.8047731253023853e-08,2.2170193448245595e-08,2.2575416454711174e-08,2.1594720460276303e-08,2.0922991941420137e-08,1.948816156041383e-08,1.8530054071758886e-08,1.686346193732479e-08,1.5418848489966498e-08,1.4250265191340647e-08,1.2933895117762714e-08,1.1226572940342219e-08,1.0065038890166823e-08,8.369587082948513e-09,6.764398683280399e-09,5.548027912418517e-09,4.128927442559484e-09,2.784257211059558e-09,2.07814558679038e-09,1.2760172702235149e-09,8.820866633558581e-10,5.337512227612382e-09,9.936713753689555e-09,9.671014457391044e-09,7.141364902434607e-09,4.781169983327173e-09,3.2656788844860778e-09,2.719717917455149e-09,506.15,2247156.184,9.116166780494844e-05,2.9524443106232388e-05,5.12,,
44,7.50464721072917e-05,8.1011186416387e-07,2.37241798499575e-05,8.576206705911e-08,1.520762304357e-08,5.535657102462e-08,2.3611205462215e-07,5.9969885414907965e-06,7.654214555588869e-09,1.8384756116465856e-08,2.2584201520208977e-08,2.2996991695450672e-08,2.1997982100875778e-08,2.1313709666711714e-08,1.985208514153063e-08,1.8876085872407573e-08,1.7178371655167252e-08,1.5706781373823753e-08,1.4516375851610991e-08,1.3175423771681849e-08,1.1436218915179447e-08,1.0252994279680314e-08,8.525881461679581e-09,6.890717637753851e-09,5.65163225599727e-09,4.206031383657753e-09,2.8362506662583952e-09,2.1169530536559604e-09,1.2998457249039146e-09,8.985588244875631e-10,5.437185383446287e-09,1.0122272788725519e-08,9.851611801242877e-09,7.274723356042413e-09,4.870453956926561e-09,3.326662448827714e-09,2.770506160413804e-09,506.15,2247156.184,9.229869962342892e-05,2.9892692525566516e-05,5.12,,
45,7.60464182502017e-05,7.4585775838439e-07,2.41791666336091e-05,7.569845520333e-08,1.917586995857e-08,5.584096366826e-08,1.9207913846528e-07,5.897366423896866e-06,7.850108045748523e-09,1.8855275203072705e-08,2.3162196561520222e-08,2.3585551231334736e-08,2.2560974091616835e-08,2.185918914661643e-08,2.0360157422112515e-08,1.9359179508631726e-08,1.7618015873963457e-08,1.6108763340771145e-08,1.4887891898017744e-08,1.3512620975682706e-08,1.1728904836282686e-08,1.0515398059904506e-08,8.744083429247423e-09,7.067071033384585e-09,5.796273872675992e-09,4.3136758926379915e-09,2.9088385246135433e-09,2.1711320055488106e-09,1.3331125367852996e-09,9.215555438719315e-10,5.5763386843725906e-09,1.0381331027886543e-08,1.0103743042852034e-08,7.460904568733996e-09,4.995102961387456e-09,3.4118013632063415e-09,2.841411426699553e-09,506.15,2247156.184,9.333380142856629e-05,3.0227929967912624e-05,5.12,,
46,7.44131301298e-05,8.8444785284616e-07,2.33381932850474e-05,7.426535771753e-08,1.128770333444e-08,6.163177666371e-08,2.035181822545e-07,6.032997228064629e-06,7.583408318385949e-09,1.821468570714478e-08,2.2375283633433666e-08,2.2784255243249617e-08,2.1794487107717676e-08,2.111654461843992e-08,1.966844102765125e-08,1.8701470357773417e-08,1.701946105116706e-08,1.5561483893648295e-08,1.4382090361648418e-08,1.3053542921066612e-08,1.1330426789373219e-08,1.0158147716426199e-08,8.447011764370289e-09,6.826974221102316e-09,5.599351148485118e-09,4.1671229818000145e-09,2.8100135865445274e-09,2.0973699234763703e-09,1.28782134486383e-09,8.902465974386118e-10,5.38688804265703e-09,1.0028635480428766e-08,9.760478275135935e-09,7.207427648064452e-09,4.825399233720737e-09,3.2958887556244385e-09,2.744877258200294e-09,506.15,2240261.427,9.114708821598163e-05,2.951972122854709e-05,5.12,,
47,7.42643805458669e-05,7.6582833763298e-07,2.34462034558541e-05,8.512771551793e-08,1.132135324407e-08,5.151292325193e-08,2.1924525520982e-07,5.9528941859385445e-06,7.740920172916537e-09,1.859301545083908e-08,2.2840031445074674e-08,2.3257497635956013e-08,2.22471714336502e-08,2.1555147679818572e-08,2.0076966125064217e-08,1.9089910905193226e-08,1.7372965275221692e-08,1.5884705073944456e-08,1.4680814844068467e-08,1.33246726911341e-08,1.1565766423122111e-08,1.0369138423801232e-08,8.62246117080959e-09,6.968774494178899e-09,5.71565296773802e-09,4.253676578990475e-09,2.8683792227716674e-09,2.1409335313441525e-09,1.3145701522360743e-09,9.08737543285762e-10,5.498776878141515e-09,1.0236936142428438e-08,9.96320915413856e-09,7.357130162762132e-09,4.925625616139192e-09,3.3643463051099735e-09,2.8018899745470766e-09,506.15,2233366.67,9.130033485588096e-05,2.9569353072828503e-05,5.12,,
