CINÉTICA,P_abs_Pa,T_R_K,F_H2_e_mol_s,F_CO_e_mol_s,F_H2_s_mol_s,F_CO_s_mol_s,F_H2O_s_mol_s,m_cat_g,CODE,y_H2_e,y_CO_e,F_T0
1,"2247156,184","506,15","9,33E-05","3,02E-05","7,61185436531655E-05","2,40808201625187E-05","1,7098553786871E-05","5,12",SAF8,"0,75536171574904","0,24463828425096","0,000162021782427123"
1,"2240261,427","506,15","9,11E-05","2,95E-05","7,44805274699551E-05","2,32422753633645E-05","1,79210662229706E-05","5,12",SAF8,"0,75536171574904","0,24463828425096","0,000162021782427123"
1,"2233366,67","506,15","9,13E-05","2,96E-05","7,43278615189409E-05","2,33486536925504E-05","1,78645332658779E-05","5,12",SAF8,"0,75536171574904","0,24463828425096","0,000162021782427123"
1,"2233366,67","506,15","9,30E-05","3,01E-05","7,61604343620279E-05","2,38899395204893E-05","1,72085330732261E-05","5,12",SAF8,"0,75536171574904","0,24463828425096","0,000162021782427123"
1,"2191998,128","495,15","8,44E-05","4,83E-05","7,055287267062E-05","4,25305609462506E-05","1,44976442014614E-05","5,12",SAF8,"0,635982210287824","0,364017789712176","0,000153994280198073"
1,"2191998,128","495,15","8,67E-05","4,96E-05","7,25906575928354E-05","4,38970099798932E-05","1,30647341830248E-05","5,12",SAF8,"0,635982210287824","0,364017789712176","0,000153994280198073"
1,"2233366,67","495,15","8,42E-05","4,82E-05","6,99904045299159E-05","4,25411133523065E-05","1,46036627040834E-05","5,12",SAF8,"0,635982210287824","0,364017789712176","0,000153994280198073"
1,"2233366,67","495,15","8,43E-05","4,83E-05","7,00164628617872E-05","4,25695453882901E-05","1,45546495868228E-05","5,12",SAF8,"0,635982210287824","0,364017789712176","0,000153994280198073"
1,"2233366,67","495,15","8,49E-05","4,86E-05","7,05811758742938E-05","4,28744194902949E-05","1,42113946834102E-05","5,12",SAF8,"0,635982210287824","0,364017789712176","0,000153994280198073"
1,"2185103,371","516,15","7,67E-05","4,63E-05","5,71125291581624E-05","4,01550654735753E-05","2,50107912378763E-05","5,12",SAF8,"0,623640374229862","0,376359625770138","0,000169888629836709"
1,"2185103,371","516,15","7,69E-05","4,64E-05","5,79639933713761E-05","4,01825749436042E-05","2,49020395276091E-05","5,12",SAF8,"0,623640374229862","0,376359625770138","0,000169888629836709"
1,"2191998,128","516,15","7,90E-05","4,77E-05","5,93826981910862E-05","4,14546367043006E-05","2,3518921360472E-05","5,12",SAF8,"0,623640374229862","0,376359625770138","0,000169888629836709"
1,"2191998,128","516,15","7,84E-05","4,73E-05","5,84369375110039E-05","4,1058963637238E-05","2,38996041299267E-05","5,12",SAF8,"0,623640374229862","0,376359625770138","0,000169888629836709"
1,"2205787,642","516,15","7,84E-05","4,73E-05","5,89354618249101E-05","4,11000305372091E-05","2,39141202257875E-05","5,12",SAF8,"0,623640374229862","0,376359625770138","0,000169888629836709"
1,"2233366,67","484,15","0,000104162593949101","4,33E-05","8,56021613179559E-05","3,8004892758556E-05","1,09262384146541E-05","5,12",SAF8,"0,706311068396605","0,293688931603395","0,000161892123510328"
1,"2212682,399","484,15","0,000105078993316466","4,37E-05","8,67814159319514E-05","3,84202665670607E-05","1,0500109342537E-05","5,12",SAF8,"0,706311068396605","0,293688931603395","0,000161892123510328"
1,"2198892,885","484,15","0,000105715542610943","4,40E-05","8,73075800678174E-05","3,85896049346939E-05","1,02034863280079E-05","5,12",SAF8,"0,706311068396605","0,293688931603395","0,000161892123510328"
1,"2191998,128","484,15","0,000105801379976378","4,40E-05","8,70939993452663E-05","3,87054818229713E-05","1,01677942871354E-05","5,12",SAF8,"0,706311068396605","0,293688931603395","0,000161892123510328"
1,"2191998,128","484,15","0,000106458130567076","4,43E-05","8,86619358890027E-05","3,89200005013116E-05","9,85682080163145E-06","5,12",SAF8,"0,706311068396605","0,293688931603395","0,000161892123510328"
1,"1661101,839","517,15","9,79E-05","4,95E-05","7,74871622124186E-05","4,05201950044684E-05","1,0830671420484E-05","5,12",SAF8,"0,664154280180218","0,335845719819782","0,000153963480748309"
1,"1667996,596","517,15","0,000100614341780639","5,09E-05","8,01860762169686E-05","4,19233379744832E-05","9,34010971367172E-06","5,12",SAF8,"0,664154280180218","0,335845719819782","0,000153963480748309"
1,"1667996,596","517,15","0,000100104279440488","5,06E-05","7,96500552794872E-05","4,1704217267747E-05","9,62036196448642E-06","5,12",SAF8,"0,664154280180218","0,335845719819782","0,000153963480748309"
1,"1667996,596","517,15","9,96E-05","5,04E-05","7,91762971990265E-05","4,15049954465062E-05","9,90490804080355E-06","5,12",SAF8,"0,664154280180218","0,335845719819782","0,000153963480748309"
1,"1674891,353","517,15","0,000100240972984513","5,07E-05","7,97277826240564E-05","4,1860071318645E-05","9,54769695160673E-06","5,12",SAF8,"0,664154280180218","0,335845719819782","0,000153963480748309"
1,"1674891,353","484,15","0,000153253015486597","5,69E-05","0,000124230522552602","4,96923394901145E-05","-6,42267784918721E-06","5,12",SAF8,"0,72920758347028","0,27079241652972","0,000161743015756014"
1,"1667996,596","484,15","0,0001535549674229","5,70E-05","0,000125263080350532","5,00072400571922E-05","-6,5558464874017E-06","5,12",SAF8,"0,72920758347028","0,27079241652972","0,000161743015756014"
1,"1667996,596","506,15","8,67E-05","4,34E-05","6,66409570710913E-05","3,53881280616273E-05","-6,5871362344415E-07","5,12",SAF8,"0,66633797608776","0,33366202391224","0,000105192279195843"
1,"1661101,839","506,15","8,68E-05","4,35E-05","6,66612762864166E-05","3,5302110689338E-05","-6,8373764904153E-07","5,12",SAF8,"0,66633797608776","0,33366202391224","0,000105192279195843"
1,"1667996,596","506,15","8,65E-05","4,33E-05","6,65394310604813E-05","3,52310652664195E-05","-5,2235736156971E-07","5,12",SAF8,"0,66633797608776","0,33366202391224","0,000105192279195843"
1,"1688680,867","495,15","9,84E-05","0,0000684412756490998","9,15453679915476E-05","5,97594905108046E-05","-6,38615639921608E-06","5,12",SAF8,"0,589843369977624","0,410156630022376","0,000132381928086584"
1,"1688680,867","495,15","0,000100913146085681","7,02E-05","9,34553865034389E-05","6,15533014092067E-05","-8,21624565044543E-06","5,12",SAF8,"0,589843369977624","0,410156630022376","0,000132381928086584"
1,"1688680,867","495,15","0,000100488716174814","6,99E-05","9,31822590274761E-05","6,12091941871737E-05","-7,89735339676699E-06","5,12",SAF8,"0,589843369977624","0,410156630022376","0,000132381928086584"
1,"1688680,867","495,15","9,94E-05","6,91E-05","9,21931992149094E-05","6,05058708621489E-05","-7,07479847425613E-06","5,12",SAF8,"0,589843369977624","0,410156630022376","0,000132381928086584"
1,"2612578,305","484,15","0,000132555447529959","6,67E-05","0,000122114112276194","5,98593642070706E-05","-1,51736295470576E-05","5,12",SAF8,"0,66510757717493","0,33489242282507","0,000138138697265872"
1,"2591894,034","484,15","0,000133072751556911","6,70E-05","0,000122723555772643","6,01591520827339E-05","-1,545505722246E-05","5,12",SAF8,"0,66510757717493","0,33489242282507","0,000138138697265872"
1,"2591894,034","495,15","0,000116162969319637","5,80E-05","7,42080236562417E-05","4,94248455213291E-05","2,20021858549689E-06","5,12",SAF8,"0,576567317574512","0,423432682425488","0,000126158126041606"
1,"2591894,034","495,15","0,000117522049979201","5,87E-05","7,47574142490788E-05","4,9748729176603E-05","1,92923586848771E-06","5,12",SAF8,"0,576567317574512","0,423432682425488","0,000126158126041606"
1,"2584999,277","495,15","0,000116764794625045","5,83E-05","7,43364818649018E-05","4,91774623733361E-05","2,62851703734411E-06","5,12",SAF8,"0,576567317574512","0,423432682425488","0,000126158126041606"
1,"2612578,305","506,15","0,00012311509781869","4,78E-05","7,6535859370275E-05","5,06869973092936E-05","9,7655438769244E-07","5,12",SAF8,"0,576567317574512","0,423432682425488","0,000126158126041606"
1,"2605683,548","506,15","0,000122833068408068","4,77E-05","0,000103959634265337","5,10430443572811E-05","-1,22803535326362E-05","5,12",SAF8,"0,66702470461869","0,33297529538131","0,000120712451536213"
1,"2584999,277","506,15","0,00012655545426923","4,91E-05","0,00010600190867872","5,16742345962005E-05","-1,30293315185081E-05","5,12",SAF8,"0,66702470461869","0,33297529538131","0,000120712451536213"
1,"1881734,063","484,15","0,000108619095242472","6,34E-05","0,000105696496852946","5,13113248900328E-05","-1,26165938013512E-05","5,12",SAF8,"0,66702470461869","0,33297529538131","0,000120712451536213"
1,"1881734,063","484,15","0,000109483895090796","6,39E-05","9,88319317559315E-05","4,09173399127003E-05","-8,90457789268775E-06","5,12",SAF8,"0,720384204909285","0,279615795090715","0,000120271437762365"
1,"1881734,063","484,15","0,000109622712743477","6,40E-05","9,90531316988636E-05","4,08380516979583E-05","-8,78521173962673E-06","5,12",SAF8,"0,720384204909285","0,279615795090715","0,000120271437762365"
1,"1867944,549","506,15","0,000110048827288045","4,33E-05","0,000101467337470556","4,24273724629904E-05","-1,04174451690466E-05","5,12",SAF8,"0,720384204909285","0,279615795090715","0,000120271437762365"
1,"1867944,549","506,15","0,000111162590119439","4,37E-05","9,56156240892268E-05","5,40222170888558E-05","-8,20391322420142E-06","5,12",SAF8,"0,631552058853581","0,368447941146419","0,000126897181867338"
1,"1854155,035","506,15","0,000110420747925863","4,34E-05","9,63668195028188E-05","5,45562809177078E-05","-8,74584468109194E-06","5,12",SAF8,"0,631552058853581","0,368447941146419","0,000126897181867338"
1,"1854155,035","517,15","7,86E-05","4,38E-05","9,6506109085808E-05","5,46668203129669E-05","-8,8284620270034E-06","5,12",SAF8,"0,631552058853581","0,368447941146419","0,000126897181867338"
1,"1854155,035","517,15","7,80E-05","4,35E-05","8,20578738783097E-05","3,43785866170672E-05","-1,56429815325869E-06","5,12",SAF8,"0,717816344463972","0,282183655536028","0,000118441618453116"
1,"1854155,035","517,15","7,73E-05","4,31E-05","8,29622330427493E-05","3,46701542630577E-05","-2,05955189446533E-06","5,12",SAF8,"0,717816344463972","0,282183655536028","0,000118441618453116"
1,"1867944,549","495,15","0,000117229005246509","6,68E-05","8,23829879458333E-05","3,43652380949005E-05","-1,73153520030505E-06","5,12",SAF8,"0,717816344463972","0,282183655536028","0,000118441618453116"
1,"1867944,549","495,15","0,000117164470553111","6,68E-05","5,58921992550243E-05","3,36829812898939E-05","5,99117968185087E-06","5,12",SAF8,"0,641979561373292","0,358020438626708","0,000113302730130513"
1,"1867944,549","495,15","0,000117452215924895","6,69E-05","5,77616411040397E-05","3,3299052022651E-05","6,32111860991779E-06","5,12",SAF8,"0,641979561373292","0,358020438626708","0,000113302730130513"
1,"1874839,306","495,15","0,000116907600888802","6,66E-05","5,69623490767205E-05","3,28139555815106E-05","6,78179509670919E-06","5,12",SAF8,"0,641979561373292","0,358020438626708","0,000113302730130513"
1,"2378156,567","495,15","0,000119855122430209","6,93E-05","0,000102316223518581","5,74352245073373E-05","-5,13837113550142E-06","5,12",SAF8,"0,636992374534492","0,363007625465508","0,000146229326361483"
1,"2378156,567","495,15","0,000121196684983528","7,01E-05","0,000102912118545931","5,7373783393261E-05","-5,09947973104476E-06","5,12",SAF8,"0,636992374534492","0,363007625465508","0,000146229326361483"
1,"2378156,567","517,15","9,18E-05","4,71E-05","0,000102804464639121","5,76152847557929E-05","-5,27228513210932E-06","5,12",SAF8,"0,636992374534492","0,363007625465508","0,000146229326361483"
1,"2378156,567","517,15","9,26E-05","4,76E-05","0,000102750888109942","5,73029353014116E-05","-4,94311410553773E-06","5,12",SAF8,"0,636992374534492","0,363007625465508","0,000146229326361483"
